t,stdA,meanA
0.0000,0.0121,0.5999
0.2500,0.0013,0.5999
0.5000,0.0011,0.5999
0.7500,0.0010,0.5999
1.0000,0.0009,0.5999
1.2500,0.0009,0.5999
1.5000,0.0009,0.5999
1.7500,0.0008,0.5999
2.0000,0.0008,0.5999
2.2500,0.0007,0.5999
2.5000,0.0006,0.5999
2.7500,0.0006,0.5999
3.0000,0.0005,0.6000
3.2500,0.0004,0.6000
3.5000,0.0004,0.6000
3.7500,0.0004,0.6001
4.0000,0.0005,0.6001
4.2500,0.0005,0.6001
4.5000,0.0006,0.6002
4.7500,0.0007,0.6002
5.0000,0.0008,0.6002
5.2500,0.0009,0.6003
5.5000,0.0010,0.6003
5.7500,0.0011,0.6003
6.0000,0.0011,0.6003
6.2500,0.0012,0.6003
6.5000,0.0012,0.6003
6.7500,0.0012,0.6003
7.0000,0.0011,0.6003
7.2500,0.0011,0.6003
7.5000,0.0010,0.6003
7.7500,0.0009,0.6002
8.0000,0.0008,0.6002
8.2500,0.0007,0.6001
8.5000,0.0006,0.6000
8.7500,0.0005,0.6000
9.0000,0.0005,0.5999
9.2500,0.0007,0.5998
9.5000,0.0008,0.5997
9.7500,0.0010,0.5997
10.0000,0.0012,0.5996
10.2500,0.0014,0.5995
10.5000,0.0016,0.5994
10.7500,0.0017,0.5994
11.0000,0.0018,0.5993
11.2500,0.0020,0.5993
11.5000,0.0020,0.5992
11.7500,0.0021,0.5992
12.0000,0.0020,0.5992
12.2500,0.0020,0.5992
12.5000,0.0019,0.5993
12.7500,0.0018,0.5993
13.0000,0.0016,0.5994
13.2500,0.0014,0.5995
13.5000,0.0012,0.5996
13.7500,0.0010,0.5998
14.0000,0.0009,0.5999
14.2500,0.0009,0.6001
14.5000,0.0011,0.6003
14.7500,0.0014,0.6005
15.0000,0.0017,0.6007
15.2500,0.0021,0.6009
15.5000,0.0025,0.6010
15.7500,0.0028,0.6012
16.0000,0.0032,0.6014
16.2500,0.0034,0.6015
16.5000,0.0037,0.6017
16.7500,0.0038,0.6018
17.0000,0.0039,0.6018
17.2500,0.0039,0.6018
17.5000,0.0038,0.6018
17.7500,0.0037,0.6018
18.0000,0.0034,0.6016
18.2500,0.0031,0.6015
18.5000,0.0027,0.6013
18.7500,0.0023,0.6010
19.0000,0.0019,0.6007
19.2500,0.0016,0.6004
19.5000,0.0016,0.6000
19.7500,0.0020,0.5996
20.0000,0.0025,0.5992
20.2500,0.0032,0.5987
20.5000,0.0039,0.5983
20.7500,0.0046,0.5979
21.0000,0.0053,0.5975
21.2500,0.0060,0.5971
21.5000,0.0065,0.5967
21.7500,0.0070,0.5964
22.0000,0.0073,0.5962
22.2500,0.0075,0.5960
22.5000,0.0076,0.5959
22.7500,0.0075,0.5958
23.0000,0.0073,0.5959
23.2500,0.0069,0.5960
23.5000,0.0063,0.5963
23.7500,0.0057,0.5966
24.0000,0.0049,0.5971
24.2500,0.0041,0.5977
24.5000,0.0034,0.5984
24.7500,0.0032,0.5992
25.0000,0.0036,0.6000
25.2500,0.0046,0.6010
25.5000,0.0059,0.6020
25.7500,0.0074,0.6031
26.0000,0.0089,0.6042
26.2500,0.0104,0.6052
26.5000,0.0118,0.6063
26.7500,0.0130,0.6073
27.0000,0.0141,0.6081
27.2500,0.0149,0.6089
27.5000,0.0154,0.6094
27.7500,0.0156,0.6098
28.0000,0.0155,0.6099
28.2500,0.0150,0.6098
28.5000,0.0142,0.6095
28.7500,0.0131,0.6088
29.0000,0.0117,0.6079
29.2500,0.0101,0.6068
29.5000,0.0085,0.6054
29.7500,0.0072,0.6039
30.0000,0.0067,0.6021
30.2500,0.0074,0.6002
30.5000,0.0091,0.5982
30.7500,0.0115,0.5961
31.0000,0.0142,0.5939
31.2500,0.0169,0.5918
31.5000,0.0196,0.5897
31.7500,0.0222,0.5877
32.0000,0.0246,0.5858
32.2500,0.0266,0.5840
32.5000,0.0283,0.5824
32.7500,0.0295,0.5810
33.0000,0.0302,0.5799
33.2500,0.0304,0.5790
33.5000,0.0300,0.5785
33.7500,0.0291,0.5783
34.0000,0.0276,0.5786
34.2500,0.0256,0.5793
34.5000,0.0232,0.5805
34.7500,0.0204,0.5823
35.0000,0.0176,0.5847
